row_index,status,error,best_fitness,best_sol,best_multi_visit_fitness,best_multi_visit_sol,ats_segments_run,ats_time_limit_reached,ats_elapsed_sec,runtime_sec
4,OK,,627,"[[[[0, [14, 15, 16, 17, 31, 32, 13, 12, 10, 27, 33, 34, 48, 47, 49, 38, 30, 29, 28, 35, 36, 37, 19, 4, 3]], [14, []], [15, []], [16, []], [17, []], [31, []], [32, []], [13, []], [12, []], [10, []], [27, []], [33, []], [34, []], [48, []], [47, []], [49, []], [38, []], [30, []], [29, []], [28, []], [35, []], [36, []], [37, []], [19, []], [4, []], [3, []]], [[0, [1, 11, 2, 9, 5, 6, 7, 8, 25, 39, 40, 26, 23, 24, 41, 42, 46, 45, 44, 43, 22, 21, 20, 18]], [1, []], [11, []], [2, []], [9, []], [5, []], [6, []], [7, []], [8, []], [25, []], [39, []], [40, []], [26, []], [23, [50]], [24, []], [41, []], [42, []], [50, []], [46, []], [45, []], [44, []], [43, []], [22, []], [21, []], [20, []], [18, []]]], [[[23, [50]]]]]",,None,1,True,30.395,30.411
5,OK,,615,"[[[[0, [11, 10, 12, 13, 27, 33, 34, 48, 47, 49, 38, 30, 29, 28, 35, 36, 37, 44, 45, 46, 50, 42, 41, 21, 22, 43, 20, 19, 18, 4, 3, 1]], [11, []], [10, []], [12, []], [13, []], [27, []], [33, []], [34, []], [48, []], [47, []], [49, []], [38, []], [30, []], [29, []], [28, []], [35, []], [36, []], [37, []], [44, []], [45, []], [46, []], [50, []], [42, []], [41, []], [21, []], [22, []], [43, []], [20, []], [19, []], [18, []], [4, []], [3, []], [1, []]], [[0, [5, 14, 15, 16, 32, 17, 31, 39, 40, 26, 25, 8, 7, 6, 9, 23, 24, 2]], [5, []], [14, []], [15, []], [16, []], [32, []], [17, []], [31, []], [39, []], [40, []], [26, []], [25, []], [8, []], [7, []], [6, []], [9, []], [23, []], [24, []], [2, []]]], []]",,None,1,True,31.079,31.089
6,OK,,523.5518327,"[[[[0, [3]], [5, [5, 6, 8, 7]], [9, [9, 11]], [6, []], [8, []], [7, []], [23, [23, 26, 25, 24]], [26, []], [39, [39, 40, 22, 21]], [40, []], [25, []], [24, []], [22, []], [50, [50, 46, 45, 43]], [46, []], [45, []], [43, []], [44, [44, 20, 18]], [42, [42, 41]], [41, []], [21, []], [20, []], [18, []], [3, []], [11, []]], [[0, [4, 2, 1]], [10, [10, 12, 14, 13]], [12, []], [14, [17, 16, 15]], [31, [31, 32, 37, 19]], [32, []], [17, []], [16, []], [15, [28, 29, 30, 38]], [13, [48, 47, 49, 36]], [27, [27, 33, 34, 35]], [28, []], [29, []], [33, []], [34, []], [48, []], [47, []], [49, []], [30, []], [38, []], [35, []], [36, []], [37, []], [19, []], [4, []], [2, []], [1, []]]], [[[5, [5, 6, 8, 7]]], [[9, [9, 11]]], [[10, [10, 12, 13, 14]]], [[14, [17, 16, 15]]], [[23, [23, 26, 25, 24]]], [[31, [31, 32, 37, 19]]], [[39, [39, 40, 21, 22]]], [[15, [28, 30, 29, 38]]], [[13, [48, 49, 47, 36]]], [[27, [27, 33, 34, 35]]], [[50, [50, 45, 43, 46]]], [[44, [44, 20, 18]]], [[42, [42, 41]]]]]",,None,1,True,30.31,30.459
