instance,A,L,best_solution,best_multi_solution,best_fitness,best_multi_fitness
test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.5.dat,8,90,"[[[[0,[1,2,3,4,9,35,8,7,5,6,34,39,38,36,37,43,42,41,40,33,29,28,30,32,31,19,18,17,16,15,14]],[1,[]],[2,[]],[3,[]],[4,[]],[9,[]],[35,[]],[8,[]],[7,[]],[5,[]],[6,[]],[34,[]],[39,[]],[38,[]],[36,[]],[37,[]],[43,[]],[42,[]],[41,[]],[40,[]],[33,[]],[29,[]],[28,[]],[30,[]],[32,[]],[31,[]],[19,[]],[18,[]],[17,[]],[16,[]],[15,[]],[14,[]]],[[0,[13,20,21,49,48,47,46,50,44,45,27,23,22,24,26,25,12,11,10]],[13,[]],[20,[]],[21,[]],[49,[]],[48,[]],[47,[]],[46,[]],[50,[]],[44,[]],[45,[]],[27,[]],[23,[]],[22,[]],[24,[]],[26,[]],[25,[]],[12,[]],[11,[]],[10,[]]]],[]]",,626,
test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.5.dat,8,120,"[[[[0,[1,2,3,4,9,6,5,7,8,35,34,39,38,36,37,43,42,41,40,33,29,28,30,32,31,19,18,17,16,15,14]],[1,[]],[2,[]],[3,[]],[4,[]],[9,[]],[6,[]],[5,[]],[7,[]],[8,[]],[35,[]],[34,[]],[39,[]],[38,[]],[36,[]],[37,[]],[43,[]],[42,[]],[41,[]],[40,[]],[33,[]],[29,[]],[28,[]],[30,[]],[32,[]],[31,[]],[19,[]],[18,[]],[17,[]],[16,[]],[15,[]],[14,[]]],[[0,[13,20,21,27,45,44,50,46,47,48,49,23,22,24,26,25,12,11,10]],[13,[]],[20,[]],[21,[]],[27,[]],[45,[]],[44,[]],[50,[]],[46,[]],[47,[]],[48,[]],[49,[]],[23,[]],[22,[]],[24,[]],[26,[]],[25,[]],[12,[]],[11,[]],[10,[]]]],[]]",,626,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,4,60,"[[[[0,[14,17,16,15,12,13,33,34,29,28,35,36,37,4,2,1]],[14,[]],[31,[31,32,27,38]],[32,[]],[17,[]],[16,[]],[15,[]],[12,[]],[13,[]],[27,[48,47,49,30]],[33,[]],[34,[]],[48,[]],[47,[]],[49,[]],[38,[]],[30,[]],[29,[]],[28,[]],[35,[]],[36,[]],[37,[]],[19,[19]],[4,[]],[2,[]],[1,[]]],[[0,[5,9,6,7,8,25,40,39,26,23,24,41,42,22,20,3,11,10]],[5,[46,45,44,43]],[9,[]],[6,[]],[7,[]],[8,[]],[25,[]],[40,[]],[39,[]],[26,[]],[23,[]],[24,[50,21,18]],[41,[]],[42,[]],[50,[]],[46,[]],[45,[]],[44,[]],[43,[]],[22,[]],[21,[]],[20,[]],[18,[]],[3,[]],[11,[]],[10,[]]]],[[[31,[31,32,27,38]]],[[5,[46,45,44,43]]],[[24,[50,21,18]]],[[27,[48,49,47,30]]],[[19,[19]]]]]",,564,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,4,90,"[[[[0,[4,2]],[12,[12,17,16,10]],[14,[14,15,13,11]],[31,[31,32,29]],[32,[]],[17,[]],[16,[]],[15,[33,48,35,36]],[13,[27,34,30]],[27,[47,49,38,28]],[33,[]],[34,[]],[48,[]],[47,[]],[49,[]],[38,[]],[30,[]],[29,[]],[28,[]],[35,[]],[36,[]],[4,[]],[2,[]],[11,[]],[10,[]]],[[0,[6,3,1]],[5,[5,9,8,7]],[9,[]],[6,[]],[8,[]],[23,[23,26,25,24]],[26,[]],[39,[39,40,21,37]],[40,[]],[25,[]],[7,[]],[24,[]],[20,[20,22,45,46]],[21,[]],[41,[41,42,19,18]],[42,[]],[22,[]],[43,[43,44,50]],[44,[]],[45,[]],[46,[]],[50,[]],[37,[]],[19,[]],[18,[]],[3,[]],[1,[]]]],[[[12,[12,16,10,17]]],[[5,[5,8,9,7]]],[[14,[14,11,13,15]]],[[23,[23,26,25,24]]],[[31,[31,32,29]]],[[39,[39,40,37,21]]],[[15,[48,33,35,36]]],[[13,[30,27,34]]],[[27,[38,49,47,28]]],[[20,[20,45,46,22]]],[[41,[41,42,19,18]]],[[43,[43,44,50]]]]]",,514.447633222,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,4,120,"[[[[0,[4,2]],[12,[12,17,16,10]],[14,[14,15,13,11]],[31,[31,32,29]],[32,[]],[17,[]],[16,[]],[15,[33,48,35,36]],[13,[27,34,30]],[27,[47,49,38,28]],[33,[]],[34,[]],[48,[]],[47,[]],[49,[]],[38,[]],[30,[]],[29,[]],[28,[]],[35,[]],[36,[]],[4,[]],[2,[]],[11,[]],[10,[]]],[[0,[6,3,1]],[5,[5,8,9,7]],[8,[]],[6,[]],[9,[]],[23,[23,26,25,24]],[26,[]],[39,[39,40,21,37]],[40,[]],[25,[]],[7,[]],[24,[]],[20,[20,22,45,46]],[21,[]],[41,[41,42,19,18]],[42,[]],[22,[]],[43,[43,50,44]],[45,[]],[46,[]],[50,[]],[44,[]],[37,[]],[19,[]],[18,[]],[3,[]],[1,[]]]],[[[5,[5,8,9,7]]],[[12,[12,16,10,17]]],[[14,[14,11,13,15]]],[[23,[23,26,25,24]]],[[31,[31,32,29]]],[[39,[39,40,37,21]]],[[15,[48,33,35,36]]],[[13,[30,27,34]]],[[27,[38,49,47,28]]],[[20,[20,45,46,22]]],[[41,[41,42,19,18]]],[[43,[43,44,50]]]]]",,514.447633222,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,8,60,"[[[[0,[2,1]],[10,[10,11,9,6,7,8,5]],[11,[]],[2,[]],[1,[]],[9,[]],[6,[]],[7,[]],[8,[]],[5,[20,21,22,24,23,25,26,39]],[20,[43,44,45,46,50,42,41,40]],[21,[]],[22,[]],[43,[]],[44,[]],[45,[]],[46,[]],[50,[]],[42,[]],[41,[]],[24,[]],[23,[]],[25,[]],[26,[]],[40,[]],[39,[]]],[[0,[4,3]],[12,[12,14,17,16,15,13]],[14,[]],[31,[31,32,27,33,19]],[32,[]],[17,[]],[16,[]],[15,[]],[13,[]],[27,[34,48,47,49,38,30,29,28]],[33,[]],[34,[]],[48,[]],[47,[]],[49,[]],[38,[]],[30,[]],[29,[]],[28,[35,36,37,18]],[35,[]],[36,[]],[37,[]],[19,[]],[18,[]],[4,[]],[3,[]]]],[[[10,[10,11,9,6,8,5,7]]],[[12,[12,14,16,15,13,17]]],[[5,[20,24,23,25,26,39,21,22]]],[[31,[31,32,27,33,19]]],[[20,[50,46,45,44,43,40,41,42]]],[[27,[48,47,49,28,34,38,30,29]]],[[28,[35,36,37,18]]]]]",,499.61249695,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,8,90,"[[[[0,[4,2,1]],[12,[12,13]],[13,[]],[14,[14,17,16,15,19]],[31,[31,32,27,33,34,30,29,28]],[32,[]],[17,[]],[16,[]],[15,[]],[27,[]],[33,[]],[34,[]],[48,[48,47,38,35,36,37]],[47,[]],[49,[49]],[38,[]],[30,[]],[29,[]],[28,[]],[35,[]],[36,[]],[37,[]],[19,[]],[4,[]],[2,[]],[1,[]]],[[0,[3]],[5,[5,9,6,8,7,11,10]],[9,[]],[6,[]],[8,[]],[7,[]],[23,[23,25,26,24,22,21,20,18]],[25,[]],[39,[39]],[40,[40,41,42,50,46,45,44,43]],[26,[]],[24,[]],[41,[]],[42,[]],[50,[]],[46,[]],[45,[]],[44,[]],[43,[]],[22,[]],[21,[]],[20,[]],[18,[]],[3,[]],[11,[]],[10,[]]]],[[[5,[5,11,10,7,8,9,6]]],[[12,[12,13]]],[[14,[14,17,16,15,19]]],[[23,[23,18,24,22,21,20,25,26]]],[[31,[31,32,27,30,28,34,29,33]]],[[39,[39]]],[[40,[40,41,42,50,46,45,44,43]]],[[48,[48,47,38,35,36,37]]],[[49,[49]]]]]",,487.61249695,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,8,120,"[[[[0,[1]],[5,[5,3,6,7,8,9]],[9,[]],[6,[]],[7,[]],[8,[]],[25,[25,26,24,22,21,20,18,23]],[39,[39,40,41,42,11,10]],[40,[]],[26,[50,46,45,44,43]],[23,[]],[24,[]],[41,[]],[42,[]],[50,[]],[46,[]],[45,[]],[44,[]],[43,[]],[22,[]],[21,[]],[20,[]],[18,[]],[3,[]],[1,[]],[11,[]],[10,[]]],[[0,[4,2]],[15,[15,16,17,14,12,13]],[16,[]],[17,[]],[32,[32,31,27,33,34,19,29]],[31,[]],[14,[]],[12,[]],[13,[]],[27,[]],[33,[]],[34,[]],[48,[48,49,38,30,28,35,36,37]],[47,[47]],[49,[]],[38,[]],[30,[]],[29,[]],[28,[]],[35,[]],[36,[]],[37,[]],[19,[]],[4,[]],[2,[]]]],[[[5,[5,3,6,7,8,9]]],[[15,[15,16,17,14,12,13]]],[[25,[25,26,24,22,21,20,18,23]]],[[32,[32,31,27,33,34,19,29]]],[[39,[39,40,41,42,11,10]]],[[26,[50,46,45,44,43]]],[[48,[48,49,38,30,28,35,36,37]]],[[47,[47]]]]]",,477.068883707,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_1.5.dat,4,60,"[[[[0,[6,5]],[9,[9,15,12,16]],[14,[14]],[15,[]],[6,[]],[22,[22,13]],[32,[32,33,34,35]],[33,[]],[34,[]],[35,[]],[18,[18,28,31]],[12,[]],[16,[45,44,43,46]],[45,[]],[44,[]],[43,[]],[13,[47,48]],[28,[]],[31,[]],[46,[]],[47,[]],[48,[]],[5,[]]],[[0,[8,1,7,4,3]],[2,[2]],[8,[]],[11,[11,10]],[10,[24]],[1,[]],[17,[17,26,27,30]],[7,[]],[4,[29,25,36,23]],[26,[]],[27,[]],[29,[]],[30,[]],[25,[39,38,37,40]],[3,[41,42,49,50]],[39,[]],[38,[]],[37,[]],[24,[]],[40,[]],[41,[]],[42,[]],[49,[]],[36,[]],[50,[]],[23,[]],[21,[21,20,19]],[20,[]],[19,[]]]],[[[2,[2]]],[[9,[9,12,15,16]]],[[11,[11,10]]],[[14,[14]]],[[10,[24]]],[[22,[22,13]]],[[17,[17,26,27,30]]],[[4,[29,25,36,23]]],[[32,[32,33,34,35]]],[[18,[18,28,31]]],[[25,[39,38,37,40]]],[[3,[41,49,50,42]]],[[16,[45,44,43,46]]],[[21,[21,20,19]]],[[13,[47,48]]]]]",,816.61249695,
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_1.5.dat,4,90,"[[[[0,[5,3]],[5,[]],[3,[]],[10,[10,15,9,14]],[15,[]],[9,[]],[14,[]],[16,[16,12,11,19]],[12,[]],[11,[]],[19,[]],[20,[20,22,31,28]],[22,[]],[37,[37,38,39]],[38,[]],[39,[]],[48,[48,47,46,13]],[47,[]],[46,[]],[31,[]],[28,[]],[13,[]],[43,[43,44,45]],[44,[]],[45,[]]],[[0,[6,7,1,2]],[8,[8,4]],[4,[]],[6,[]],[7,[]],[1,[]],[2,[]],[30,[30,29,27,26]],[29,[]],[27,[]],[26,[]],[25,[25,24,23,21]],[41,[41,40,42,36]],[40,[]],[24,[]],[23,[]],[42,[]],[36,[]],[49,[49,50,35,18]],[50,[]],[21,[]],[18,[]],[35,[]],[34,[34,33,32,17]],[33,[]],[32,[]],[17,[]]]],[[[8,[8,4]]],[[10,[10,15,9,14]]],[[16,[16,12,11,19]]],[[20,[20,22,31,28]]],[[30,[30,29,27,26]]],[[25,[25,24,23,21]]],[[41,[41,40,42,36]]],[[37,[37,38,39]]],[[48,[48,47,46,13]]],[[49,[49,50,35,18]]],[[34,[34,33,32,17]]],[[43,[43,44,45]]]]]",,746.311288741,
