instance,drone_capacity,drone_limit_time,theta,run,best_fitness,best_sol,best_multi_visit_fitness,best_multi_visit_sol,best_sol_avg_customers_per_drone_trip,best_sol_avg_demand_per_drone_trip,best_sol_drone_trip_distances,best_sol_avg_distance_per_drone_trip,best_sol_truck_wait_by_point,best_sol_drone_wait_by_point,best_sol_avg_truck_wait_by_point,best_sol_avg_drone_wait_by_point,best_multi_visit_sol_avg_customers_per_drone_trip,best_multi_visit_sol_avg_demand_per_drone_trip,best_multi_visit_sol_drone_trip_distances,best_multi_visit_sol_avg_distance_per_drone_trip,best_multi_visit_sol_truck_wait_by_point,best_multi_visit_sol_drone_wait_by_point,best_multi_visit_sol_avg_truck_wait_by_point,best_multi_visit_sol_avg_drone_wait_by_point,status,runtime_sec,instance_group,instance_name
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,4,60,2,1,627,"[[[[0, [1, 2, 19, 37, 36, 35, 38, 30, 49, 47, 48, 34, 33, 29, 28, 27, 13, 12, 31, 32, 17, 16, 15, 14, 10]], [1, []], [2, []], [19, []], [37, []], [36, []], [35, []], [38, []], [30, []], [49, []], [47, []], [48, []], [34, []], [33, []], [29, []], [28, []], [27, []], [13, []], [12, []], [31, []], [32, []], [17, []], [16, []], [15, []], [14, []], [10, []]], [[0, [5, 6, 8, 7, 25, 40, 39, 26, 23, 9, 24, 20, 22, 21, 41, 42, 46, 45, 44, 43, 3, 18, 4, 11]], [5, []], [6, []], [8, []], [7, []], [25, []], [40, []], [39, []], [26, []], [23, []], [9, []], [24, []], [20, [50]], [22, []], [21, []], [41, []], [42, []], [50, []], [46, []], [45, []], [44, []], [43, []], [3, []], [18, []], [4, []], [11, []]]], [[[20, [50]]]]]",,None,3.357143,3.357143,"[21.540659, 20.0, 23.323808, 23.323808, 44.72136, 44.72136, 53.814496, 51.419841, 30.265492, 30.265492, 46.647615, 46.647615, 50.596443, 50.596443]",38.420316,"{5: 0.0, 1: 0.0, 10: 3.094137, 23: 57.139304, 17: 0.0, 25: 7.255103, 14: 0.0, 27: 0.913107, 20: 0.0}","{5: 3.22967, 1: 10.0, 10: 0.0, 23: 0.0, 17: 1.479818, 25: 0.0, 14: 28.839653, 27: 0.0, 20: 70.398209}",7.600184,12.660817,,,[],,{},{},,,OK,7512.017,cluster,C201_0.5.dat
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,4,60,2,2,611,"[[[[0, [1, 11, 2, 3, 4, 19, 18, 20, 21, 22, 41, 42, 50, 46, 45, 44, 43, 37, 36, 35, 28, 29, 30, 38, 49, 47, 48, 34, 33, 27, 10]], [1, []], [11, []], [2, []], [3, []], [4, []], [19, []], [18, []], [20, []], [21, []], [22, []], [41, []], [42, []], [50, []], [46, []], [45, []], [44, []], [43, []], [37, []], [36, []], [35, []], [28, []], [29, []], [30, []], [38, []], [49, []], [47, []], [48, []], [34, []], [33, []], [27, []], [10, []]], [[0, [5, 9, 6, 23, 24, 7, 8, 25, 26, 40, 39, 31, 32, 17, 16, 14, 15, 13, 12]], [5, []], [9, []], [6, []], [23, []], [24, []], [7, []], [8, []], [25, []], [26, []], [40, []], [39, []], [31, []], [32, []], [17, []], [16, []], [14, []], [15, []], [13, []], [12, []]]], []]",,None,3.833333,3.833333,"[23.323808, 36.055513, 44.72136, 45.607017, 51.419841, 20.0, 40.0, 21.540659, 50.596443, 50.596443, 48.166378, 48.166378]",40.016153,"{11: 7.661904, 9: 0.0, 23: 15.36068, 24: 0.0, 25: 1.769376, 1: 5.104733, 18: 2.0, 5: 2.48025, 20: 2.81289, 28: 0.0}","{11: 0.0, 9: 3.972244, 23: 0.0, 24: 8.830639, 25: 0.0, 1: 0.0, 18: 0.0, 5: 0.0, 20: 0.0, 28: 253.453626}",3.718983,26.625651,3.833333,3.833333,"[28.980662, 23.323808, 45.607017, 45.607017, 38.626416, 51.419841, 21.540659, 21.540659, 50.596443, 50.596443, 53.814496, 39.293765]",39.245602,"{11: 7.661904, 10: 49.444247, 24: 19.727457, 7: 0.0, 25: 0.0, 5: 2.48025, 20: 0.0, 17: 0.0, 13: 0.0}","{11: 0.0, 10: 0.0, 24: 0.0, 7: 7.741679, 25: 1.486571, 5: 9.502314, 20: 18.343148, 17: 49.728429, 13: 145.988794}",8.812651,25.86566,OK,5484.051,cluster,C201_0.5.dat
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,4,60,2,3,691,"[[[[0, [11, 10, 12, 13, 14, 31, 32, 17, 16, 15, 27, 33, 34, 48, 47, 49, 38, 20, 22, 21, 41, 42, 50, 46, 45, 44, 43, 3, 1]], [11, []], [10, []], [12, []], [13, []], [14, []], [31, []], [32, []], [17, []], [16, []], [15, []], [27, []], [33, []], [34, []], [48, []], [47, []], [49, []], [38, []], [20, []], [22, []], [21, []], [41, []], [42, []], [50, []], [46, []], [45, []], [44, []], [43, []], [3, []], [1, []]], [[0, [5, 8, 7, 6, 4, 18, 19, 37, 36, 35, 28, 29, 30, 2, 9, 24, 23, 25, 26, 40, 39]], [5, []], [8, []], [7, []], [6, []], [4, []], [18, []], [19, []], [37, []], [36, []], [35, []], [28, []], [29, []], [30, []], [2, []], [9, []], [24, []], [23, []], [25, []], [26, []], [40, []], [39, []]]], []]",,None,3.692308,3.692308,"[21.540659, 21.540659, 23.323808, 33.526109, 30.265492, 30.265492, 20.0, 20.0, 41.231056, 41.231056, 46.647615, 50.596443, 50.596443]",33.135756,"{5: 0.0, 10: 0.0, 12: 0.0, 14: 12.265492, 1: 6.530984, 19: 1.231056, 27: 0.0, 20: 0.0}","{5: 6.459341, 10: 0.567767, 12: 2.236945, 14: 0.0, 1: 0.0, 19: 0.0, 27: 28.31239, 20: 270.715948}",2.503441,38.536549,3.538462,3.538462,"[39.293765, 28.980662, 33.526109, 33.526109, 30.265492, 20.0, 41.231056, 41.231056, 46.647615, 46.647615, 51.419841, 50.596443, 44.72136]",39.083625,"{13: 0.0, 11: 35.661904, 10: 10.432233, 12: 14.424958, 14: 1.470842, 1: 18.338096, 19: 0.615528, 27: 0.0, 25: 0.0, 20: 0.0, 23: 0.0}","{13: 0.353117, 11: 0.0, 10: 0.0, 12: 13.022296, 14: 0.0, 1: 0.0, 19: 5.923692, 27: 94.161868, 25: 216.966272, 20: 25.665465, 23: 80.341099}",7.358506,39.675801,OK,6919.306,cluster,C201_0.5.dat
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,4,60,2,4,627,"[[[[0, [14, 15, 16, 17, 31, 32, 13, 12, 10, 27, 33, 34, 48, 47, 49, 38, 30, 29, 28, 35, 36, 37, 19, 4, 3]], [14, []], [15, []], [16, []], [17, []], [31, []], [32, []], [13, []], [12, []], [10, []], [27, []], [33, []], [34, []], [48, []], [47, []], [49, []], [38, []], [30, []], [29, []], [28, []], [35, []], [36, []], [37, []], [19, []], [4, []], [3, []]], [[0, [1, 11, 2, 9, 5, 6, 7, 8, 25, 39, 40, 26, 23, 24, 41, 42, 46, 45, 44, 43, 22, 21, 20, 18]], [1, []], [11, []], [2, []], [9, []], [5, []], [6, []], [7, []], [8, []], [25, []], [39, []], [40, []], [26, []], [23, [50]], [24, []], [41, []], [42, []], [50, []], [46, []], [45, []], [44, []], [43, []], [22, []], [21, []], [20, []], [18, []]]], [[[23, [50]]]]]",,None,3.833333,3.833333,"[20.0, 23.323808, 30.265492, 36.055513, 51.224994, 33.105891, 46.647615, 46.647615, 23.323808, 23.323808, 45.607017, 45.607017]",35.427715,"{1: 4.0, 11: 26.661904, 14: 23.132746, 9: 0.0, 31: 0.0, 6: 0.0, 27: 0.0, 10: 0.0, 24: 0.0}","{1: 0.0, 11: 0.0, 14: 0.0, 9: 27.368656, 31: 11.520249, 6: 3.419298, 27: 41.657785, 10: 2.028577, 24: 42.127491}",5.977183,14.235784,3.833333,3.833333,"[39.409937, 30.265492, 23.323808, 23.323808, 53.814496, 41.231056, 24.33105, 24.33105, 46.647615, 34.234486, 48.166378, 48.166378]",36.43713,"{12: 2.763055, 13: 9.825312, 14: 0.0, 10: 11.308786, 11: 0.0, 17: 4.940196, 19: 0.0, 2: 10.781053, 27: 0.0, 4: 11.282768, 28: 48.102098}","{12: 0.0, 13: 0.0, 14: 8.630309, 10: 0.0, 11: 17.576395, 17: 0.0, 19: 9.722568, 2: 7.358075, 27: 5.079819, 4: 0.0, 28: 0.0}",9.000297,4.397015,OK,4378.35,cluster,C201_0.5.dat
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,4,60,2,5,615,"[[[[0, [11, 10, 12, 13, 27, 33, 34, 48, 47, 49, 38, 30, 29, 28, 35, 36, 37, 44, 45, 46, 50, 42, 41, 21, 22, 43, 20, 19, 18, 4, 3, 1]], [11, []], [10, []], [12, []], [13, []], [27, []], [33, []], [34, []], [48, []], [47, []], [49, []], [38, []], [30, []], [29, []], [28, []], [35, []], [36, []], [37, []], [44, []], [45, []], [46, []], [50, []], [42, []], [41, []], [21, []], [22, []], [43, []], [20, []], [19, []], [18, []], [4, []], [3, []], [1, []]], [[0, [5, 14, 15, 16, 32, 17, 31, 39, 40, 26, 25, 8, 7, 6, 9, 23, 24, 2]], [5, []], [14, []], [15, []], [16, []], [32, []], [17, []], [31, []], [39, []], [40, []], [26, []], [25, []], [8, []], [7, []], [6, []], [9, []], [23, []], [24, []], [2, []]]], []]",,None,3.7,3.7,"[23.323808, 23.323808, 30.265492, 30.265492, 41.231056, 41.231056, 46.647615, 46.647615, 48.166378, 48.166378]",37.92687,"{11: 29.323808, 14: 0.0, 15: 55.701898, 27: 0.0, 28: 0.0}","{11: 0.0, 14: 10.734508, 15: 0.0, 27: 57.095623, 28: 121.186007}",17.005141,37.803227,3.916667,3.916667,"[23.323808, 33.105891, 43.323808, 23.323808, 40.0, 23.323808, 40.0, 40.0, 40.0, 39.293765, 53.814496, 53.814496]",37.77699,"{11: 149.985711, 6: 0.0, 18: 238.29523, 10: 5.0, 13: 0.0, 17: 0.0}","{11: 0.0, 6: 13.447055, 18: 26.676192, 10: 0.0, 13: 51.691214, 17: 118.876717}",65.546824,35.115196,OK,4626.961,cluster,C201_0.5.dat
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,4,90,2,1,523.5518327,"[[[[0, [3]], [5, [5, 6, 8, 7]], [9, [9, 11]], [6, []], [8, []], [7, []], [23, [23, 26, 25, 24]], [26, []], [39, [39, 40, 22, 21]], [40, []], [25, []], [24, []], [22, []], [50, [50, 46, 45, 43]], [46, []], [45, []], [43, []], [44, [44, 20, 18]], [42, [42, 41]], [41, []], [21, []], [20, []], [18, []], [3, []], [11, []]], [[0, [4, 2, 1]], [10, [10, 12, 14, 13]], [12, []], [14, [17, 16, 15]], [31, [31, 32, 37, 19]], [32, []], [17, []], [16, []], [15, [28, 29, 30, 38]], [13, [48, 47, 49, 36]], [27, [27, 33, 34, 35]], [28, []], [29, []], [33, []], [34, []], [48, []], [47, []], [49, []], [30, []], [38, []], [35, []], [36, []], [37, []], [19, []], [4, []], [2, []], [1, []]]], [[[5, [5, 6, 8, 7]]], [[9, [9, 11]]], [[10, [10, 12, 13, 14]]], [[14, [17, 16, 15]]], [[23, [23, 26, 25, 24]]], [[31, [31, 32, 37, 19]]], [[39, [39, 40, 21, 22]]], [[15, [28, 30, 29, 38]]], [[13, [48, 49, 47, 36]]], [[27, [27, 33, 34, 35]]], [[50, [50, 45, 43, 46]]], [[44, [44, 20, 18]]], [[42, [42, 41]]]]]",,None,3.538462,3.538462,"[21.540659, 23.323808, 36.055513, 30.265492, 44.72136, 51.224994, 62.096699, 41.231056, 39.293765, 46.647615, 78.587531, 70.710678, 76.157731]",47.835146,"{5: 0.0, 10: 21.661904, 9: 6.798086, 14: 0.0, 23: 0.0, 31: 6.950593, 39: 0.0, 15: 0.0, 13: 0.0, 27: 0.939336, 50: 0.0, 44: 0.0, 42: 0.0}","{5: 3.22967, 10: 0.0, 9: 0.0, 14: 3.20535, 23: 1.611564, 31: 0.0, 39: 2.590971, 15: 19.771975, 13: 11.119179, 27: 0.0, 50: 14.244941, 44: 33.567107, 42: 3.627369}",2.796148,7.151394,,,[],,{},{},,,OK,4449.661,cluster,C201_0.5.dat
