instance,drone_capacity,drone_limit_time,theta,run,best_fitness,best_sol,best_multi_visit_fitness,best_multi_visit_sol,best_sol_avg_customers_per_drone_trip,best_sol_avg_demand_per_drone_trip,best_sol_drone_trip_distances,best_sol_avg_distance_per_drone_trip,best_sol_truck_wait_by_point,best_sol_drone_wait_by_point,best_sol_avg_truck_wait_by_point,best_sol_avg_drone_wait_by_point,best_multi_visit_sol_avg_customers_per_drone_trip,best_multi_visit_sol_avg_demand_per_drone_trip,best_multi_visit_sol_drone_trip_distances,best_multi_visit_sol_avg_distance_per_drone_trip,best_multi_visit_sol_truck_wait_by_point,best_multi_visit_sol_drone_wait_by_point,best_multi_visit_sol_avg_truck_wait_by_point,best_multi_visit_sol_avg_drone_wait_by_point,status,runtime_sec,instance_group,instance_name
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,4,60,2,1,627,"[[[[0, [1, 2, 19, 37, 36, 35, 38, 30, 49, 47, 48, 34, 33, 29, 28, 27, 13, 12, 31, 32, 17, 16, 15, 14, 10]], [1, []], [2, []], [19, []], [37, []], [36, []], [35, []], [38, []], [30, []], [49, []], [47, []], [48, []], [34, []], [33, []], [29, []], [28, []], [27, []], [13, []], [12, []], [31, []], [32, []], [17, []], [16, []], [15, []], [14, []], [10, []]], [[0, [5, 6, 8, 7, 25, 40, 39, 26, 23, 9, 24, 20, 22, 21, 41, 42, 46, 45, 44, 43, 3, 18, 4, 11]], [5, []], [6, []], [8, []], [7, []], [25, []], [40, []], [39, []], [26, []], [23, []], [9, []], [24, []], [20, [50]], [22, []], [21, []], [41, []], [42, []], [50, []], [46, []], [45, []], [44, []], [43, []], [3, []], [18, []], [4, []], [11, []]]], [[[20, [50]]]]]",,None,3.357143,3.357143,"[21.540659, 20.0, 23.323808, 23.323808, 44.72136, 44.72136, 53.814496, 51.419841, 30.265492, 30.265492, 46.647615, 46.647615, 50.596443, 50.596443]",38.420316,"{5: 0.0, 1: 0.0, 10: 3.094137, 23: 57.139304, 17: 0.0, 25: 7.255103, 14: 0.0, 27: 0.913107, 20: 0.0}","{5: 3.22967, 1: 10.0, 10: 0.0, 23: 0.0, 17: 1.479818, 25: 0.0, 14: 28.839653, 27: 0.0, 20: 70.398209}",7.600184,12.660817,,,[],,{},{},,,OK,7512.017,cluster,C201_0.5.dat
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,4,60,2,2,611,"[[[[0, [1, 11, 2, 3, 4, 19, 18, 20, 21, 22, 41, 42, 50, 46, 45, 44, 43, 37, 36, 35, 28, 29, 30, 38, 49, 47, 48, 34, 33, 27, 10]], [1, []], [11, []], [2, []], [3, []], [4, []], [19, []], [18, []], [20, []], [21, []], [22, []], [41, []], [42, []], [50, []], [46, []], [45, []], [44, []], [43, []], [37, []], [36, []], [35, []], [28, []], [29, []], [30, []], [38, []], [49, []], [47, []], [48, []], [34, []], [33, []], [27, []], [10, []]], [[0, [5, 9, 6, 23, 24, 7, 8, 25, 26, 40, 39, 31, 32, 17, 16, 14, 15, 13, 12]], [5, []], [9, []], [6, []], [23, []], [24, []], [7, []], [8, []], [25, []], [26, []], [40, []], [39, []], [31, []], [32, []], [17, []], [16, []], [14, []], [15, []], [13, []], [12, []]]], []]",,None,3.833333,3.833333,"[23.323808, 36.055513, 44.72136, 45.607017, 51.419841, 20.0, 40.0, 21.540659, 50.596443, 50.596443, 48.166378, 48.166378]",40.016153,"{11: 7.661904, 9: 0.0, 23: 15.36068, 24: 0.0, 25: 1.769376, 1: 5.104733, 18: 2.0, 5: 2.48025, 20: 2.81289, 28: 0.0}","{11: 0.0, 9: 3.972244, 23: 0.0, 24: 8.830639, 25: 0.0, 1: 0.0, 18: 0.0, 5: 0.0, 20: 0.0, 28: 253.453626}",3.718983,26.625651,3.833333,3.833333,"[28.980662, 23.323808, 45.607017, 45.607017, 38.626416, 51.419841, 21.540659, 21.540659, 50.596443, 50.596443, 53.814496, 39.293765]",39.245602,"{11: 7.661904, 10: 49.444247, 24: 19.727457, 7: 0.0, 25: 0.0, 5: 2.48025, 20: 0.0, 17: 0.0, 13: 0.0}","{11: 0.0, 10: 0.0, 24: 0.0, 7: 7.741679, 25: 1.486571, 5: 9.502314, 20: 18.343148, 17: 49.728429, 13: 145.988794}",8.812651,25.86566,OK,5484.051,cluster,C201_0.5.dat
test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,4,60,2,3,691,"[[[[0, [11, 10, 12, 13, 14, 31, 32, 17, 16, 15, 27, 33, 34, 48, 47, 49, 38, 20, 22, 21, 41, 42, 50, 46, 45, 44, 43, 3, 1]], [11, []], [10, []], [12, []], [13, []], [14, []], [31, []], [32, []], [17, []], [16, []], [15, []], [27, []], [33, []], [34, []], [48, []], [47, []], [49, []], [38, []], [20, []], [22, []], [21, []], [41, []], [42, []], [50, []], [46, []], [45, []], [44, []], [43, []], [3, []], [1, []]], [[0, [5, 8, 7, 6, 4, 18, 19, 37, 36, 35, 28, 29, 30, 2, 9, 24, 23, 25, 26, 40, 39]], [5, []], [8, []], [7, []], [6, []], [4, []], [18, []], [19, []], [37, []], [36, []], [35, []], [28, []], [29, []], [30, []], [2, []], [9, []], [24, []], [23, []], [25, []], [26, []], [40, []], [39, []]]], []]",,None,3.692308,3.692308,"[21.540659, 21.540659, 23.323808, 33.526109, 30.265492, 30.265492, 20.0, 20.0, 41.231056, 41.231056, 46.647615, 50.596443, 50.596443]",33.135756,"{5: 0.0, 10: 0.0, 12: 0.0, 14: 12.265492, 1: 6.530984, 19: 1.231056, 27: 0.0, 20: 0.0}","{5: 6.459341, 10: 0.567767, 12: 2.236945, 14: 0.0, 1: 0.0, 19: 0.0, 27: 28.31239, 20: 270.715948}",2.503441,38.536549,3.538462,3.538462,"[39.293765, 28.980662, 33.526109, 33.526109, 30.265492, 20.0, 41.231056, 41.231056, 46.647615, 46.647615, 51.419841, 50.596443, 44.72136]",39.083625,"{13: 0.0, 11: 35.661904, 10: 10.432233, 12: 14.424958, 14: 1.470842, 1: 18.338096, 19: 0.615528, 27: 0.0, 25: 0.0, 20: 0.0, 23: 0.0}","{13: 0.353117, 11: 0.0, 10: 0.0, 12: 13.022296, 14: 0.0, 1: 0.0, 19: 5.923692, 27: 94.161868, 25: 216.966272, 20: 25.665465, 23: 80.341099}",7.358506,39.675801,OK,6919.306,cluster,C201_0.5.dat
